"","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Bandwidth_GB_Year","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Churn_Yes","Techie_Yes","Contract_One_Year","Contract_Two_Year","Port_modem_Yes","Tablet_Yes","InternetService_Fiber_Optic","InternetService_None","Phone_Yes","Multiple_Yes","OnlineSecurity_Yes","OnlineBackup_Yes","DeviceProtection_Yes","TechSupport_Yes","StreamingTV_Yes","StreamingMovies_Yes","PaperlessBilling_Yes","PaymentMethod_Credit_Card_(automatic)","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
"Outage_sec_perweek",1,0,0.02,0,0,0.02,0,-0.02,-0.01,-0.02,-0.01,0,-0.01,-0.02,0.01,0,-0.01,-0.01,0.02,0.01,0.01,0,0.01,-0.01,0.01,0,0,0.02,-0.01,0.01,0.02,-0.01,0.01,0,-0.01
"Email",0,1,0,-0.02,-0.01,0,-0.01,0,0,0.01,0,-0.01,0.01,0.01,-0.01,0.01,-0.01,-0.01,0,0.01,-0.01,0,0,-0.01,0,-0.02,-0.01,0,0.02,0.01,0,-0.01,0.02,-0.01,0
"Contacts",0.02,0,1,-0.01,0,0,0,-0.01,0,-0.02,0,0,0,0,-0.01,0.01,0.01,0,0.01,0,-0.01,0,-0.02,0.01,-0.02,0.01,0.01,0,-0.01,0,0.01,0,0,0,-0.02
"Yearly_equip_failure",0,-0.02,-0.01,1,0.01,-0.01,0.01,0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.02,-0.01,0.01,-0.01,0.01,0,0,0,-0.01,0,-0.02,-0.01,-0.01,0,0,0,0.02,0.01,0.02,-0.02
"Tenure",0,-0.01,0,0.01,1,0,0.99,-0.01,0,0,-0.01,0.02,-0.01,0,-0.02,-0.49,-0.01,-0.01,0.02,0.01,0,0,-0.01,0,-0.01,0,0.02,-0.03,0,0,0,0,0.01,0,0.01
"MonthlyCharge",0.02,0,0,-0.01,0,1,0.06,0.01,0,-0.01,0,-0.01,0,-0.01,0,0.37,0.01,0.01,0,0,0.01,0.29,-0.24,-0.02,0.39,0.05,0.26,0.16,0.12,0.48,0.61,0,0.01,-0.01,0
"Bandwidth_GB_Year",0,-0.01,0,0.01,0.99,0.06,1,-0.01,0,0,-0.01,0.03,-0.01,0,-0.02,-0.44,-0.01,0,0.02,0.01,0,-0.06,-0.04,0,0.01,0.02,0.04,-0.01,0,0.05,0.05,0,0.01,0,0.01
"Item1",-0.02,0,-0.01,0.01,-0.01,0.01,-0.01,1,0.66,0.58,-0.01,0,0.4,0.34,0.29,-0.01,0.01,0.01,0,0,0.02,0.02,-0.02,0,0.01,0,-0.01,0,0.03,0,-0.01,0.01,0,0.01,-0.02
"Item2",-0.01,0,0,-0.01,0,0,0,0.66,1,0.52,0,0,0.36,0.3,0.25,-0.01,0.01,0,0,0,0.02,0.01,-0.02,0.03,-0.01,0,0.01,0.01,0.02,0,-0.01,0,-0.01,0.02,-0.02
"Item3",-0.02,0.01,-0.02,-0.01,0,-0.01,0,0.58,0.52,1,-0.01,0,0.32,0.26,0.22,-0.01,0.01,0.01,0,0,0.01,0,0.01,0,0.01,0,-0.01,-0.01,0.02,-0.01,-0.01,-0.01,0,0.01,0
"Item4",-0.01,0,0,-0.01,-0.01,0,-0.01,-0.01,0,-0.01,1,-0.44,0.24,0.2,0.16,0,0,-0.01,0,0.01,0,0,0,-0.01,-0.01,0.01,-0.01,-0.01,0.02,0.01,0,0.01,0.01,0,0
"Item5",0,-0.01,0,0,0.02,-0.01,0.03,0,0,0,-0.44,1,-0.3,-0.26,-0.19,-0.01,0,0,0.01,0,-0.02,-0.01,0,0.02,0,-0.01,0.01,0,-0.01,-0.01,0,0,0,0,0
"Item6",-0.01,0.01,0,0,-0.01,0,-0.01,0.4,0.36,0.32,0.24,-0.3,1,0.38,0.31,0,0,0.01,0,0,0,0.01,-0.01,-0.01,-0.01,0,-0.01,0,0.01,0,0,-0.01,-0.01,0,0.01
"Item7",-0.02,0.01,0,-0.01,0,-0.01,0,0.34,0.3,0.26,0.2,-0.26,0.38,1,0.25,-0.01,0.01,0,0.01,0,0.01,0,-0.01,0,0.01,-0.01,0,-0.02,0.02,-0.01,-0.01,0.02,0.01,0,0
"Item8",0.01,-0.01,-0.01,-0.01,-0.02,0,-0.02,0.29,0.25,0.22,0.16,-0.19,0.31,0.25,1,0.01,0,0,-0.01,0,0.02,0,-0.02,0,-0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01
"Churn_Yes",0,0.01,0.01,-0.02,-0.49,0.37,-0.44,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,0.01,1,0.07,-0.14,-0.18,0.01,0,-0.06,-0.04,-0.03,0.13,-0.01,0.05,0.06,0.02,0.23,0.29,0.01,-0.01,0.03,-0.01
"Techie_Yes",-0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.01,0.01,0.01,0.01,0,0,0,0.01,0,0.07,1,0.01,-0.01,-0.01,0.01,0,-0.01,0,0,-0.02,0,0.02,0.01,0,0,0,0.01,0,-0.01
"Contract_One_Year",-0.01,-0.01,0,0.01,-0.01,0.01,0,0.01,0,0.01,-0.01,0,0.01,0,0,-0.14,0.01,1,-0.29,-0.01,0.02,-0.01,0.01,0.01,0.02,0,0,0.01,0,0.02,0,-0.01,0,-0.02,0.01
"Contract_Two_Year",0.02,0,0.01,-0.01,0.02,0,0.02,0,0,0,0,0.01,0,0.01,-0.01,-0.18,-0.01,-0.29,1,0,0,0.01,-0.01,0,0.01,0.02,0,-0.01,0,0,-0.01,0.02,0,0.01,-0.01
"Port_modem_Yes",0.01,0.01,0,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.01,-0.01,-0.01,0,1,0,0,0,0,0,0,0,0,0.01,0,0.01,0,-0.01,0,0.01
"Tablet_Yes",0.01,-0.01,-0.01,0,0,0.01,0,0.02,0.02,0.01,0,-0.02,0,0.01,0.02,0,0.01,0.02,0,0,1,-0.01,0.01,0.02,-0.02,0.01,0,-0.01,-0.01,0.02,0.02,0.02,0,0.02,-0.01
"InternetService_Fiber_Optic",0,0,0,0,0,0.29,-0.06,0.02,0.01,0,0,-0.01,0.01,0,0,-0.06,0,-0.01,0.01,0,-0.01,1,-0.46,-0.01,0.01,0.01,0,0.01,-0.03,-0.01,0,0.02,0.02,-0.01,0
"InternetService_None",0.01,0,-0.02,0,-0.01,-0.24,-0.04,-0.02,-0.02,0.01,0,0,-0.01,-0.01,-0.02,-0.04,-0.01,0.01,-0.01,0,0.01,-0.46,1,0.01,-0.02,-0.02,0,0,0,0,0,0,-0.01,0.01,0
"Phone_Yes",-0.01,-0.01,0.01,-0.01,0,-0.02,0,0,0.03,0,-0.01,0.02,-0.01,0,0,-0.03,0,0.01,0,0,0.02,-0.01,0.01,1,0,0,0,-0.03,-0.01,-0.01,0,-0.01,-0.01,0.01,0
"Multiple_Yes",0.01,0,-0.02,0,-0.01,0.39,0.01,0.01,-0.01,0.01,-0.01,0,-0.01,0.01,-0.01,0.13,0,0.02,0.01,0,-0.02,0.01,-0.02,0,1,0,0,0,-0.01,0,0,0,0,-0.01,0
"OnlineSecurity_Yes",0,-0.02,0.01,-0.02,0,0.05,0.02,0,0,0,0.01,-0.01,0,-0.01,0.01,-0.01,-0.02,0,0.02,0,0.01,0.01,-0.02,0,0,1,0.01,0.01,0.01,0,0.01,0,0,0.01,0
"OnlineBackup_Yes",0,-0.01,0.01,-0.01,0.02,0.26,0.04,-0.01,0.01,-0.01,-0.01,0.01,-0.01,0,0,0.05,0,0,0,0,0,0,0,0,0,0.01,1,0.01,0,-0.01,0,0.01,0,0,0
"DeviceProtection_Yes",0.02,0,0,-0.01,-0.03,0.16,-0.01,0,0.01,-0.01,-0.01,0,0,-0.02,0.01,0.06,0.02,0.01,-0.01,0,-0.01,0.01,0,-0.03,0,0.01,0.01,1,0,0,0.02,0.01,0,-0.01,0
"TechSupport_Yes",-0.01,0.02,-0.01,0,0,0.12,0,0.03,0.02,0.02,0.02,-0.01,0.01,0.02,0.01,0.02,0.01,0,0,0.01,-0.01,-0.03,0,-0.01,-0.01,0.01,0,0,1,0,-0.01,0,-0.01,0.01,-0.01
"StreamingTV_Yes",0.01,0.01,0,0,0,0.48,0.05,0,0,-0.01,0.01,-0.01,0,-0.01,0.01,0.23,0,0.02,0,0,0.02,-0.01,0,-0.01,0,0,-0.01,0,0,1,-0.01,-0.02,0,-0.01,0
"StreamingMovies_Yes",0.02,0,0.01,0,0,0.61,0.05,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0.29,0,0,-0.01,0.01,0.02,0,0,0,0,0.01,0,0.02,-0.01,-0.01,1,0,0.01,0,0
"PaperlessBilling_Yes",-0.01,-0.01,0,0.02,0,0,0,0.01,0,-0.01,0.01,0,-0.01,0.02,0.01,0.01,0,-0.01,0.02,0,0.02,0.02,0,-0.01,0,0,0.01,0.01,0,-0.02,0,1,0,0,-0.01
"PaymentMethod_Credit_Card_(automatic)",0.01,0.02,0,0.01,0.01,0.01,0.01,0,-0.01,0,0.01,0,-0.01,0.01,0,-0.01,0.01,0,0,-0.01,0,0.02,-0.01,-0.01,0,0,0,0,-0.01,0,0.01,0,1,-0.37,-0.28
"PaymentMethod_Electronic_Check",0,-0.01,0,0.02,0,-0.01,0,0.01,0.02,0.01,0,0,0,0,0,0.03,0,-0.02,0.01,0,0.02,-0.01,0.01,0.01,-0.01,0.01,0,-0.01,0.01,-0.01,0,0,-0.37,1,-0.39
"PaymentMethod_Mailed_Check",-0.01,0,-0.02,-0.02,0.01,0,0.01,-0.02,-0.02,0,0,0,0.01,0,0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,-0.01,-0.28,-0.39,1
